ASSERTION	AAEEAgAAAAAAAMBiQA==
ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAECAAIBAAAAAAAAABRA
RUN	parabank.TransferTest	transfertest	1760280492913	 	3.3.1
REQUEST	35		Transferencia	1760280494766	1760280495389	OK	 
USER	Transferencias simultaneas válidas	35	END	1760280494764	1760280495389
REQUEST	77		Transferencia	1760280495113	1760280495390	OK	 
USER	Transferencias simultaneas válidas	77	END	1760280495112	1760280495391
REQUEST	62		Transferencia	1760280494973	1760280495393	OK	 
USER	Transferencias simultaneas válidas	62	END	1760280494972	1760280495393
REQUEST	47		Transferencia	1760280494858	1760280495399	OK	 
USER	Transferencias simultaneas válidas	47	END	1760280494858	1760280495399
REQUEST	48		Transferencia	1760280494859	1760280495404	OK	 
USER	Transferencias simultaneas válidas	48	END	1760280494858	1760280495404
REQUEST	52		Transferencia	1760280494890	1760280495408	OK	 
USER	Transferencias simultaneas válidas	52	END	1760280494889	1760280495408
REQUEST	26		Transferencia	1760280494702	1760280495410	OK	 
USER	Transferencias simultaneas válidas	26	END	1760280494700	1760280495410
REQUEST	65		Transferencia	1760280494983	1760280495412	OK	 
USER	Transferencias simultaneas válidas	65	END	1760280494983	1760280495412
USER	Transferencias simultaneas válidas	124	START	1760280495422	1760280495422
USER	Transferencias simultaneas válidas	123	START	1760280495422	1760280495422
USER	Transferencias simultaneas válidas	125	START	1760280495422	1760280495422
USER	Transferencias simultaneas válidas	122	START	1760280495422	1760280495422
REQUEST	66		Transferencia	1760280495000	1760280495426	OK	 
USER	Transferencias simultaneas válidas	66	END	1760280494999	1760280495427
REQUEST	51		Transferencia	1760280494874	1760280495427	OK	 
REQUEST	41		Transferencia	1760280494811	1760280495427	OK	 
USER	Transferencias simultaneas válidas	41	END	1760280494810	1760280495427
USER	Transferencias simultaneas válidas	51	END	1760280494873	1760280495427
REQUEST	73		Transferencia	1760280495094	1760280495430	OK	 
USER	Transferencias simultaneas válidas	73	END	1760280495093	1760280495430
REQUEST	80		Transferencia	1760280495142	1760280495434	OK	 
USER	Transferencias simultaneas válidas	80	END	1760280495141	1760280495434
REQUEST	76		Transferencia	1760280495109	1760280495436	OK	 
USER	Transferencias simultaneas válidas	76	END	1760280495109	1760280495436
REQUEST	78		Transferencia	1760280495125	1760280495437	OK	 
USER	Transferencias simultaneas válidas	78	END	1760280495122	1760280495437
USER	Transferencias simultaneas válidas	127	START	1760280495438	1760280495438
USER	Transferencias simultaneas válidas	126	START	1760280495438	1760280495438
USER	Transferencias simultaneas válidas	129	START	1760280495442	1760280495442
USER	Transferencias simultaneas válidas	128	START	1760280495442	1760280495442
USER	Transferencias simultaneas válidas	130	START	1760280495442	1760280495442
REQUEST	42		Transferencia	1760280494826	1760280495444	OK	 
USER	Transferencias simultaneas válidas	42	END	1760280494826	1760280495445
REQUEST	31		Transferencia	1760280494733	1760280495449	OK	 
USER	Transferencias simultaneas válidas	31	END	1760280494732	1760280495449
USER	Transferencias simultaneas válidas	132	START	1760280495454	1760280495454
USER	Transferencias simultaneas válidas	133	START	1760280495454	1760280495454
USER	Transferencias simultaneas válidas	131	START	1760280495454	1760280495454
USER	Transferencias simultaneas válidas	134	START	1760280495454	1760280495454
REQUEST	29		Transferencia	1760280494708	1760280495458	OK	 
USER	Transferencias simultaneas válidas	29	END	1760280494706	1760280495458
REQUEST	79		Transferencia	1760280495123	1760280495459	OK	 
USER	Transferencias simultaneas válidas	79	END	1760280495123	1760280495460
REQUEST	43		Transferencia	1760280494843	1760280495460	OK	 
USER	Transferencias simultaneas válidas	43	END	1760280494842	1760280495460
REQUEST	23		Transferencia	1760280494684	1760280495465	OK	 
