ASSERTION	AAEDAAECAQAAAAAAAHCnQA==
ASSERTION	AAEDAAEEAAAAAAAAwFdAAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
ASSERTION	AAECAAMCAAAAAAAAwFhA
RUN	parabank.AccountStatementsTest	accountstatementstest	1759981929683	 	3.3.1
REQUEST	61		Get Account Statement Request	1759981937927	1759981938069	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	61	END	1759981936432	1759981938070
REQUEST	62		Get Accounts Request	1759981937946	1759981938077	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	82	START	1759981938146	1759981938146
REQUEST	42		Get Account Statement Request	1759981938007	1759981938157	OK	 
USER	Account Statements Test - Carga Simultánea	42	END	1759981935425	1759981938158
REQUEST	70		Get Accounts Request	1759981938007	1759981938161	OK	 
REQUEST	74		Login Request	1759981937836	1759981938180	OK	 
REQUEST	80		Login Request	1759981937866	1759981938201	OK	 
USER	Account Statements Test - Carga Simultánea	76	START	1759981938237	1759981938237
REQUEST	67		Get Account Statement Request	1759981938117	1759981938260	OK	 
REQUEST	71		Get Accounts Request	1759981938115	1759981938260	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	67	END	1759981936600	1759981938261
REQUEST	50		Get Account Statement Request	1759981938147	1759981938286	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	83	START	1759981938286	1759981938286
USER	Account Statements Test - Carga Simultánea	50	END	1759981935628	1759981938287
REQUEST	81		Login Request	1759981938007	1759981938387	OK	 
REQUEST	63		Get Accounts Request	1759981938238	1759981938397	OK	 
REQUEST	75		Login Request	1759981938027	1759981938419	OK	 
USER	Account Statements Test - Carga Simultánea	77	START	1759981938426	1759981938426
USER	Account Statements Test - 200 Usuarios Simultáneos	84	START	1759981938426	1759981938426
REQUEST	72		Get Accounts Request	1759981938287	1759981938429	OK	 
REQUEST	68		Get Account Statement Request	1759981938316	1759981938469	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	68	END	1759981936756	1759981938470
REQUEST	69		Get Account Statement Request	1759981938376	1759981938504	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	69	END	1759981936926	1759981938505
REQUEST	64		Get Accounts Request	1759981938391	1759981938535	OK	 
REQUEST	82		Login Request	1759981938147	1759981938540	OK	 
REQUEST	51		Get Account Statement Request	1759981938391	1759981938547	OK	 
USER	Account Statements Test - Carga Simultánea	51	END	1759981935830	1759981938549
USER	Account Statements Test - 200 Usuarios Simultáneos	90	START	1759981938559	1759981938559
REQUEST	76		Login Request	1759981938238	1759981938578	OK	 
REQUEST	78		Get Accounts Request	1759981938438	1759981938581	OK	 
USER	Account Statements Test - Carga Simultánea	85	START	1759981938620	1759981938620
REQUEST	83		Login Request	1759981938287	1759981938627	OK	 
REQUEST	79		Get Accounts Request	1759981938530	1759981938665	OK	 
REQUEST	52		Get Account Statement Request	1759981938545	1759981938689	OK	 
USER	Account Statements Test - Carga Simultánea	52	END	1759981936032	1759981938690
USER	Account Statements Test - 200 Usuarios Simultáneos	91	START	1759981938696	1759981938696
REQUEST	65		Get Accounts Request	1759981938577	1759981938725	OK	 
